,COUNTY,County,Population 2016,Population 2017,Population 2018,Population 2019,Population 2020
191,1,Alameda County,1650765.0,1659824,1666596,1668412,1662323
192,3,Alpine County,1053.0,1116,1081,1113,1119
193,5,Amador County,37443.0,38549,39349,39693,40083
194,7,Butte County,226222.0,228700,230330,218726,212744
195,9,Calaveras County,45307.0,45658,45747,46119,46308
196,11,Colusa County,21476.0,21558,21389,21474,21558
197,13,Contra Costa County,1137259.0,1145623,1150840,1152883,1152333
198,15,Del Norte County,27415.0,27383,27793,27903,27968
199,17,El Dorado County,186027.0,188793,190925,193057,192925
200,19,Fresno County,976231.0,984726,991298,997847,1000918
201,21,Glenn County,27796.0,27876,27899,28445,28283
202,23,Humboldt County,136477.0,136710,136502,135839,134977
203,25,Imperial County,179881.0,181250,181062,180439,180267
204,27,Inyo County,17897.0,17819,17894,17993,18046
205,29,Kern County,881094.0,887316,893618,898898,901362
206,31,Kings County,149269.0,149542,151221,152727,152692
207,33,Lake County,63912.0,64132,64394,64463,64479
208,35,Lassen County,30715.0,30919,30658,30694,30016
209,37,Los Angeles County,10094865.0,10092365,10061533,10011602,9943046
210,39,Madera County,153694.0,155079,156373,156717,157761
211,41,Marin County,260722.0,259975,260091,259085,257332
212,43,Mariposa County,17498.0,17461,17361,17117,17160
213,45,Mendocino County,87319.0,87690,87549,86932,86061
214,47,Merced County,267370.0,270837,273733,277114,279252
215,49,Modoc County,8957.0,8864,8816,8866,8763
216,51,Mono County,14256.0,14333,14400,14450,14534
217,53,Monterey County,433436.0,433803,433359,433380,430906
218,55,Napa County,140778.0,139818,138620,137678,135965
219,57,Nevada County,98939.0,99421,99472,99648,99606
220,59,Orange County,3164277.0,3174159,3175579,3170851,3166857
221,61,Placer County,379046.0,385348,392735,398918,402950
222,63,Plumas County,18691.0,18680,18830,19052,18967
223,65,Riverside County,2378282.0,2413058,2443221,2465569,2489188
224,67,Sacramento County,1511401.0,1527984,1539550,1551660,1559146
225,69,San Benito County,59270.0,60190,61415,62803,64055
226,71,San Bernardino County,2130726.0,2149847,2165627,2177279,2189183
227,73,San Diego County,3305462.0,3319019,3332483,3330459,3332427
228,75,San Francisco County,871343.0,877471,879676,878826,866606
229,77,San Joaquin County,732662.0,743286,752590,761571,767967
230,79,San Luis Obispo County,281884.0,282473,283250,282728,282249
231,81,San Mateo County,767928.0,768658,768410,764810,758308
232,83,Santa Barbara County,444112.0,444998,445137,445464,444766
233,85,Santa Clara County,1928144.0,1932251,1931985,1922411,1907105
234,87,Santa Cruz County,274476.0,274865,273713,272870,269925
235,89,Shasta County,178592.0,179403,179666,179645,179027
236,91,Sierra County,2956.0,3008,2961,2959,2920
237,93,Siskiyou County,43402.0,43647,43624,43663,43245
238,95,Solano County,438834.0,443554,445931,447434,446935
239,97,Sonoma County,502445.0,502203,497221,492318,489819
240,99,Stanislaus County,538986.0,544494,547855,549761,550081
241,101,Sutter County,95769.0,96161,96348,96910,96385
242,103,Tehama County,63468.0,63827,63904,65186,64494
243,105,Trinity County,12827.0,12727,12598,12337,12216
244,107,Tulare County,458991.0,462072,464279,465751,468680
245,109,Tuolumne County,53729.0,53953,54250,54290,54515
246,111,Ventura County,846921.0,848264,847222,844203,841387
247,113,Yolo County,215569.0,218470,220082,220019,219728
248,115,Yuba County,74920.0,76575,77418,78549,80160
