index,2016 Median Housing,2017 Median Housing,2018 Median Housing,2019 Median Housing,2020 Median Housing
Alameda County,605800.0,662100.0,722800.0,785800.0,843500.0
Alpine County,356100.0,360600.0,368100.0,391000.0,394300.0
Amador County,273900.0,288700.0,302600.0,324500.0,339400.0
Butte County,242200.0,255400.0,270100.0,294100.0,328400.0
Calaveras County,266900.0,281100.0,308800.0,333200.0,346300.0
Colusa County,197200.0,215300.0,247800.0,266300.0,263700.0
Contra Costa County,485000.0,543400.0,602000.0,642000.0,671500.0
Del Norte County,223700.0,219200.0,223800.0,245900.0,249100.0
El Dorado County,394500.0,426700.0,453400.0,476300.0,495300.0
Fresno County,213400.0,230500.0,245600.0,262900.0,277700.0
Glenn County,228100.0,236400.0,240800.0,259200.0,270300.0
Humboldt County,288500.0,295100.0,311100.0,326000.0,340800.0
Imperial County,170800.0,180200.0,192900.0,212900.0,224700.0
Inyo County,291800.0,304600.0,316700.0,329000.0,330100.0
Kern County,188100.0,203600.0,217400.0,226100.0,239800.0
Kings County,178700.0,190300.0,207300.0,218800.0,230400.0
Lake County,186500.0,202300.0,218000.0,240200.0,267400.0
Lassen County,176800.0,186700.0,191700.0,213000.0,223200.0
Los Angeles County,467300.0,498400.0,548200.0,588300.0,620700.0
Madera County,211600.0,227800.0,241500.0,257300.0,273500.0
Marin County,875000.0,920500.0,975500.0,1014300.0,1075900.0
Mariposa County,257600.0,283200.0,281600.0,291700.0,317500.0
Mendocino County,331700.0,347600.0,367600.0,383500.0,392600.0
Merced County,174500.0,202000.0,234800.0,259000.0,276300.0
Modoc County,150400.0,155600.0,151400.0,166600.0,163400.0
Mono County,290700.0,306600.0,327600.0,314600.0,452400.0
Monterey County,389900.0,440000.0,476500.0,516600.0,564400.0
Napa County,527600.0,578300.0,621400.0,654700.0,680900.0
Nevada County,369900.0,398500.0,421900.0,445300.0,459200.0
Orange County,599700.0,635800.0,668900.0,694200.0,719500.0
Placer County,383700.0,418200.0,447300.0,477100.0,502800.0
Plumas County,232500.0,239600.0,246000.0,254500.0,274000.0
Riverside County,291800.0,321300.0,347600.0,367600.0,387400.0
Sacramento County,277400.0,308300.0,338600.0,359600.0,380200.0
San Benito County,434300.0,461200.0,496000.0,552100.0,591100.0
San Bernardino County,272300.0,296700.0,324100.0,345600.0,365700.0
San Diego County,464900.0,495200.0,541900.0,577400.0,607600.0
San Francisco County,866600.0,943700.0,1029300.0,1118200.0,1185700.0
San Joaquin County,258700.0,294000.0,329400.0,358000.0,383400.0
San Luis Obispo County,476900.0,506600.0,547600.0,581900.0,610500.0
San Mateo County,854500.0,930200.0,1014500.0,1114700.0,1189100.0
Santa Barbara County,485400.0,510900.0,547100.0,562600.0,597400.0
Santa Clara County,755700.0,834700.0,917600.0,987500.0,1070600.0
Santa Cruz County,622900.0,670000.0,727200.0,778300.0,808100.0
Shasta County,229200.0,240200.0,250000.0,264500.0,276200.0
Sierra County,235400.0,252700.0,223100.0,256500.0,216000.0
Siskiyou County,184300.0,182200.0,191800.0,205800.0,234100.0
Solano County,316900.0,353200.0,388300.0,419700.0,447500.0
Sonoma County,470200.0,523200.0,578300.0,617900.0,647600.0
Stanislaus County,222700.0,251600.0,279800.0,298600.0,322400.0
Sutter County,212300.0,236700.0,268800.0,290000.0,316800.0
Tehama County,189300.0,202500.0,214700.0,227600.0,238500.0
Trinity County,275000.0,296700.0,293300.0,297700.0,292000.0
Tulare County,175800.0,186200.0,196800.0,212300.0,230800.0
Tuolumne County,267100.0,281500.0,289000.0,306300.0,329600.0
Ventura County,494700.0,537900.0,574000.0,601800.0,626100.0
Yolo County,353800.0,378600.0,402800.0,432100.0,460200.0
Yuba County,208400.0,227600.0,252900.0,269200.0,285400.0
